HomeTeam,AwayTeam
"Burnley FC","Chelsea FC"
"AFC Bournemouth","West Ham United FC"
"Brighton & Hove Albion FC","Brentford FC"
"Fulham FC","Sunderland AFC"
"Liverpool FC","Nottingham Forest FC"
"Wolverhampton Wanderers FC","Crystal Palace FC"
"Newcastle United FC","Manchester City FC"
"Leeds United FC","Aston Villa FC"
"Arsenal FC","Tottenham Hotspur FC"
"Manchester United FC","Everton FC"
"Sunderland AFC","AFC Bournemouth"
"Brentford FC","Burnley FC"
"Manchester City FC","Leeds United FC"
"Everton FC","Newcastle United FC"
"Tottenham Hotspur FC","Fulham FC"
"Crystal Palace FC","Manchester United FC"
"Aston Villa FC","Wolverhampton Wanderers FC"
"Nottingham Forest FC","Brighton & Hove Albion FC"
"West Ham United FC","Liverpool FC"
"Chelsea FC","Arsenal FC"
"AFC Bournemouth","Everton FC"
"Fulham FC","Manchester City FC"
"Newcastle United FC","Tottenham Hotspur FC"
"Brighton & Hove Albion FC","Aston Villa FC"
"Arsenal FC","Brentford FC"
"Burnley FC","Crystal Palace FC"
"Wolverhampton Wanderers FC","Nottingham Forest FC"
"Liverpool FC","Sunderland AFC"
"Leeds United FC","Chelsea FC"
"Manchester United FC","West Ham United FC"
"Aston Villa FC","Arsenal FC"
"AFC Bournemouth","Chelsea FC"
"Everton FC","Nottingham Forest FC"
"Manchester City FC","Sunderland AFC"
"Newcastle United FC","Burnley FC"
"Tottenham Hotspur FC","Brentford FC"
"Leeds United FC","Liverpool FC"
"Brighton & Hove Albion FC","West Ham United FC"
"Fulham FC","Crystal Palace FC"
"Wolverhampton Wanderers FC","Manchester United FC"
"Chelsea FC","Everton FC"
"Liverpool FC","Brighton & Hove Albion FC"
"Burnley FC","Fulham FC"
"Arsenal FC","Wolverhampton Wanderers FC"
"Sunderland AFC","Newcastle United FC"
"Crystal Palace FC","Manchester City FC"
"Nottingham Forest FC","Tottenham Hotspur FC"
"West Ham United FC","Aston Villa FC"
"Brentford FC","Leeds United FC"
"Manchester United FC","AFC Bournemouth"
"Newcastle United FC","Chelsea FC"
"AFC Bournemouth","Burnley FC"
"Brighton & Hove Albion FC","Sunderland AFC"
"Manchester City FC","West Ham United FC"
"Wolverhampton Wanderers FC","Brentford FC"
"Tottenham Hotspur FC","Liverpool FC"
"Everton FC","Arsenal FC"
"Leeds United FC","Crystal Palace FC"
"Aston Villa FC","Manchester United FC"
"Fulham FC","Nottingham Forest FC"
"Manchester United FC","Newcastle United FC"
"Nottingham Forest FC","Manchester City FC"
"Arsenal FC","Brighton & Hove Albion FC"
"Brentford FC","AFC Bournemouth"
"Burnley FC","Everton FC"
"Liverpool FC","Wolverhampton Wanderers FC"
"West Ham United FC","Fulham FC"
"Chelsea FC","Aston Villa FC"
"Sunderland AFC","Leeds United FC"
"Crystal Palace FC","Tottenham Hotspur FC"
"Burnley FC","Newcastle United FC"
"Chelsea FC","AFC Bournemouth"
"Nottingham Forest FC","Everton FC"
"West Ham United FC","Brighton & Hove Albion FC"
"Arsenal FC","Aston Villa FC"
"Manchester United FC","Wolverhampton Wanderers FC"
"Crystal Palace FC","Fulham FC"
"Liverpool FC","Leeds United FC"
"Sunderland AFC","Manchester City FC"
"Brentford FC","Tottenham Hotspur FC"
"Aston Villa FC","Nottingham Forest FC"
"Brighton & Hove Albion FC","Burnley FC"
"Wolverhampton Wanderers FC","West Ham United FC"
"AFC Bournemouth","Arsenal FC"
"Leeds United FC","Manchester United FC"
"Everton FC","Brentford FC"
"Fulham FC","Liverpool FC"
"Newcastle United FC","Crystal Palace FC"
"Tottenham Hotspur FC","Sunderland AFC"
"Manchester City FC","Chelsea FC"
"West Ham United FC","Nottingham Forest FC"
"AFC Bournemouth","Tottenham Hotspur FC"
"Crystal Palace FC","Aston Villa FC"
"Brentford FC","Sunderland AFC"
"Everton FC","Wolverhampton Wanderers FC"
"Fulham FC","Chelsea FC"
"Manchester City FC","Brighton & Hove Albion FC"
"Burnley FC","Manchester United FC"
"Newcastle United FC","Leeds United FC"
"Arsenal FC","Liverpool FC"
"Sunderland AFC","Crystal Palace FC"
"Aston Villa FC","Everton FC"
"Brighton & Hove Albion FC","AFC Bournemouth"
"Chelsea FC","Brentford FC"
"Liverpool FC","Burnley FC"
"Leeds United FC","Fulham FC"
"Manchester United FC","Manchester City FC"
"Nottingham Forest FC","Arsenal FC"
"Tottenham Hotspur FC","West Ham United FC"
"Wolverhampton Wanderers FC","Newcastle United FC"
"AFC Bournemouth","Liverpool FC"
"Crystal Palace FC","Chelsea FC"
"Arsenal FC","Manchester United FC"
"Brentford FC","Nottingham Forest FC"
"Burnley FC","Tottenham Hotspur FC"
"Everton FC","Leeds United FC"
"Fulham FC","Brighton & Hove Albion FC"
"Manchester City FC","Wolverhampton Wanderers FC"
"Newcastle United FC","Aston Villa FC"
"West Ham United FC","Sunderland AFC"
"Sunderland AFC","Burnley FC"
"Aston Villa FC","Brentford FC"
"Brighton & Hove Albion FC","Everton FC"
"Chelsea FC","West Ham United FC"
"Liverpool FC","Newcastle United FC"
"Leeds United FC","Arsenal FC"
"Manchester United FC","Fulham FC"
"Nottingham Forest FC","Crystal Palace FC"
"Tottenham Hotspur FC","Manchester City FC"
"Wolverhampton Wanderers FC","AFC Bournemouth"
"AFC Bournemouth","Aston Villa FC"
"Brighton & Hove Albion FC","Crystal Palace FC"
"Arsenal FC","Sunderland AFC"
"Burnley FC","West Ham United FC"
"Fulham FC","Everton FC"
"Liverpool FC","Manchester City FC"
"Leeds United FC","Nottingham Forest FC"
"Manchester United FC","Tottenham Hotspur FC"
"Newcastle United FC","Brentford FC"
"Wolverhampton Wanderers FC","Chelsea FC"
"Sunderland AFC","Liverpool FC"
"Aston Villa FC","Brighton & Hove Albion FC"
"Crystal Palace FC","Burnley FC"
"Brentford FC","Arsenal FC"
"Chelsea FC","Leeds United FC"
"Everton FC","AFC Bournemouth"
"Manchester City FC","Fulham FC"
"Nottingham Forest FC","Wolverhampton Wanderers FC"
"Tottenham Hotspur FC","Newcastle United FC"
"West Ham United FC","Manchester United FC"
"Sunderland AFC","Fulham FC"
"Aston Villa FC","Leeds United FC"
"Crystal Palace FC","Wolverhampton Wanderers FC"
"Brentford FC","Brighton & Hove Albion FC"
"Chelsea FC","Burnley FC"
"Everton FC","Manchester United FC"
"Manchester City FC","Newcastle United FC"
"Nottingham Forest FC","Liverpool FC"
"Tottenham Hotspur FC","Arsenal FC"
"West Ham United FC","AFC Bournemouth"
"AFC Bournemouth","Sunderland AFC"
"Brighton & Hove Albion FC","Nottingham Forest FC"
"Arsenal FC","Chelsea FC"
"Burnley FC","Brentford FC"
"Fulham FC","Tottenham Hotspur FC"
"Liverpool FC","West Ham United FC"
"Leeds United FC","Manchester City FC"
"Manchester United FC","Crystal Palace FC"
"Newcastle United FC","Everton FC"
"Wolverhampton Wanderers FC","Aston Villa FC"
"AFC Bournemouth","Brentford FC"
"Aston Villa FC","Chelsea FC"
"Brighton & Hove Albion FC","Arsenal FC"
"Everton FC","Burnley FC"
"Fulham FC","West Ham United FC"
"Leeds United FC","Sunderland AFC"
"Manchester City FC","Nottingham Forest FC"
"Newcastle United FC","Manchester United FC"
"Tottenham Hotspur FC","Crystal Palace FC"
"Wolverhampton Wanderers FC","Liverpool FC"
"Sunderland AFC","Brighton & Hove Albion FC"
"Crystal Palace FC","Leeds United FC"
"Arsenal FC","Everton FC"
"Brentford FC","Wolverhampton Wanderers FC"
"Burnley FC","AFC Bournemouth"
"Chelsea FC","Newcastle United FC"
"Liverpool FC","Tottenham Hotspur FC"
"Manchester United FC","Aston Villa FC"
"Nottingham Forest FC","Fulham FC"
"West Ham United FC","Manchester City FC"
"AFC Bournemouth","Manchester United FC"
"Aston Villa FC","West Ham United FC"
"Brighton & Hove Albion FC","Liverpool FC"
"Everton FC","Chelsea FC"
"Fulham FC","Burnley FC"
"Leeds United FC","Brentford FC"
"Manchester City FC","Crystal Palace FC"
"Newcastle United FC","Sunderland AFC"
"Tottenham Hotspur FC","Nottingham Forest FC"
"Wolverhampton Wanderers FC","Arsenal FC"
"Sunderland AFC","Tottenham Hotspur FC"
"Crystal Palace FC","Newcastle United FC"
"Arsenal FC","AFC Bournemouth"
"Brentford FC","Everton FC"
"Burnley FC","Brighton & Hove Albion FC"
"Chelsea FC","Manchester City FC"
"Liverpool FC","Fulham FC"
"Manchester United FC","Leeds United FC"
"Nottingham Forest FC","Aston Villa FC"
"West Ham United FC","Wolverhampton Wanderers FC"
"Newcastle United FC","AFC Bournemouth"
"Nottingham Forest FC","Burnley FC"
"Tottenham Hotspur FC","Brighton & Hove Albion FC"
"Aston Villa FC","Sunderland AFC"
"Crystal Palace FC","West Ham United FC"
"Brentford FC","Fulham FC"
"Chelsea FC","Manchester United FC"
"Everton FC","Liverpool FC"
"Leeds United FC","Wolverhampton Wanderers FC"
"Manchester City FC","Arsenal FC"
"AFC Bournemouth","Leeds United FC"
"Sunderland AFC","Nottingham Forest FC"
"Brighton & Hove Albion FC","Chelsea FC"
"Arsenal FC","Newcastle United FC"
"Burnley FC","Manchester City FC"
"Fulham FC","Aston Villa FC"
"Liverpool FC","Crystal Palace FC"
"Manchester United FC","Brentford FC"
"West Ham United FC","Everton FC"
"Wolverhampton Wanderers FC","Tottenham Hotspur FC"
"AFC Bournemouth","Crystal Palace FC"
"Aston Villa FC","Tottenham Hotspur FC"
"Arsenal FC","Fulham FC"
"Brentford FC","West Ham United FC"
"Chelsea FC","Nottingham Forest FC"
"Everton FC","Manchester City FC"
"Leeds United FC","Burnley FC"
"Manchester United FC","Liverpool FC"
"Newcastle United FC","Brighton & Hove Albion FC"
"Wolverhampton Wanderers FC","Sunderland AFC"
"Sunderland AFC","Manchester United FC"
"Brighton & Hove Albion FC","Wolverhampton Wanderers FC"
"Crystal Palace FC","Everton FC"
"Burnley FC","Aston Villa FC"
"Fulham FC","AFC Bournemouth"
"Liverpool FC","Chelsea FC"
"Manchester City FC","Brentford FC"
"Nottingham Forest FC","Newcastle United FC"
"Tottenham Hotspur FC","Leeds United FC"
"West Ham United FC","Arsenal FC"
"AFC Bournemouth","Manchester City FC"
"Aston Villa FC","Liverpool FC"
"Arsenal FC","Burnley FC"
"Brentford FC","Crystal Palace FC"
"Chelsea FC","Tottenham Hotspur FC"
"Everton FC","Sunderland AFC"
"Leeds United FC","Brighton & Hove Albion FC"
"Manchester United FC","Nottingham Forest FC"
"Newcastle United FC","West Ham United FC"
"Wolverhampton Wanderers FC","Fulham FC"
"Sunderland AFC","Chelsea FC"
"Brighton & Hove Albion FC","Manchester United FC"
"Crystal Palace FC","Arsenal FC"
"Burnley FC","Wolverhampton Wanderers FC"
"Fulham FC","Newcastle United FC"
"Liverpool FC","Brentford FC"
"Manchester City FC","Aston Villa FC"
"Nottingham Forest FC","AFC Bournemouth"
"Tottenham Hotspur FC","Everton FC"
"West Ham United FC","Leeds United FC"